ResponseId;conseq;wtp_1;wtp_2;wtp_explain_diff;wtp_explain_same;wtp_explain_pos;code_conseq;comment;coder
R_1d5dBKtriSaJmcZ;chicken;20;10;For the first scenario I feel like it's making something better, so I think I would want to pay more. I'm very price-conscious, so a dollar per chicken seems like the amount that I would pay but not too high that I wouldn't buy the chicken anymore.;;I think if no more chickens are going to have a better life, then I might not want to pay as much. Like I said before, I'm price-conscious. I'd rather not eat as many chickens if they can't be raised in an acceptable way.;conseq;;CB
R_1mKMeE0XKn7QIJR;chicken;1;1;;I'm broke;Because I might be benefiting someone else other than myself;other;;CB
R_337l1mEnZjElPv4;chicken;15;0;Because for the second option, there would be no inherent benefit of paying more;;;conseq;;CB
R_512GnNxfqtvuk7v;chicken;3;3;;I see no reason to want to pay more if the overall number of chickens does not change.;It still contributes to the well being of the chickens who are being raised under better conditions.;deont;;CB
R_YPpuQfjO6bY3cat;chicken;0;0;;;;;;CB
R_1dKRKxXWm0fTFGz;chicken;5;0;If I'm paying money to increase the welfare of chickens and no chickens are actually benefitting then I won't bother paying extra. I would like to but it doesn't do anything anyways.;;;conseq;;CB
R_1Ic20IjSCaBy14L;chicken;20;20;;Regardless of the overall number of chickens raised under better conditions there are still more chickens raised in those better conditions than previously.;Because is still helps to raise chickens under better conditions that before even if the overall total stays the same.;deont;;CB
R_1ibu1J6rnU7LG78;chicken;0;0;;;;;;CB
R_3F3Y66hhnx4TDyH;chicken;1;0;the second changes nothing;;;conseq;;CB
R_1rk6eMOt92ybXGh;chicken;7;2;Well, the reason why I didn't give much more money and snarrow too is beacuse it doesnt help the animal welfare.;;Just wanted to give some money to contribute;conseq, deont;;CB
R_2SJMeLy6bHJkWhS;chicken;25;0;I would be willing to spend considerably more if the additional amount I pay actually results in chickens being treated better and cared for.;;;conseq;;CB
R_1LMyKQpWozSfIMB;chicken;50;10;I would be willing to pay just a little bit more if I knew that chickens were going to be treated better.  If I knew that it wouldn't make a difference, then I would spend less.;;To show that I still care about how the chickens are treated.  Maybe there would be a chance that at least a few chickens would be treated better.;deont, conseqstill;;CB
R_11jdi38lkBGtS5d;chicken;25;30;I gave  two  different answers since the the situation is in different form and also have different demands. In situation two, the more you spend is the more the chickens get price.;;In situation two, I will be willing to pay money so that the chickens price will high and reduce the number of customers who are willing to buy.;other;;CB
R_2ymBmtS6KZUbehI;chicken;10;5;"I would still pay a bit more for the chicken that has been raised under good living conditions, but I wouldn't feel like I'm supporting animal welfare as much and therefore I wouldn't be more willing to ""donate"" to their cause.";;Because I would still be paying for the chicken that had been raised under decent living conditions and humanely kept.;deont;;CB
R_XTgCurrQFeurwmB;chicken;150;0;If changes would be made when premium is paid  for chickens then I would be willing to pay but if there would be no changes made I would not pay premium because it would be a waste of money.;;;conseq;;CB
R_3KCkjWgL6tecson;chicken;2;2;;I am willing to try to improve conditions for farmed animals;If it is more expensive to buy chicken then perhaps people would buy a non-animal product;deont;;CB
R_x3jKAmlpPpcVBMR;chicken;2;1,5;I think my primary thoughts when purchasing would be the better welfare conditions yielding better chicken rather than the consequences of my individual choice;;To obtain better (healthier) chicken;deont;;CB
R_3KDynrJz4IvZoBY;chicken;30;30;;Limited funds. Since I don't eat beef or pork I have to rely on birds;A girl can dream...maybe some day it would make a difference even though I can't afford the higher priced meat products and don't eat them anyway;other;;CB
R_z3kknQoqanlOik1;chicken;50;50;;I'm paying to support. Even if it doesn't change for the betterment of all chickens it at least would support the 20.;It seems like the same impact for the 20 chickens even if it isn't going to help the treatment of chickens overall.;deont;;CB
R_2UVC3mL5RyQUsCM;chicken;5;5;;Because i am on a budget but still feel that I can contribute an extra $5 toward better chicken conditions. whether it helps or not, we'll see;Because the chickens, in theory would be better off still;deont;;CB
R_3Kuy1XfQ6xlHznZ;chicken;20;0;Because why spend more on something that has no impact? I am only willing to go out of my way if it actually does something.;;;conseq;;CB
R_3hg8b8o4tvPRyN2;chicken;50;10; I was willing to pay up to $50 extra for 20 animal-welfare-certified chickens because my payment directly led to an improvement in the lives of those specific animals, aligning with my ethical values. However, in the second scenario, where my payment didn't result in any tangible change in animal welfare standards, my willingness to pay significantly decreased to a symbolic gesture of up to $10, reflecting a reduced willingness to spend without a direct impact on the well-being of the chickens.;;"my willingness to pay a nominal amount, up to $10, despite the total impact being zero, stems from a symbolic gesture of supporting ethical practices. Even without a direct influence on the overall welfare standards, this contribution represents a personal commitment to promoting humane treatment of animals, acknowledging the importance of ethical farming practices even if the immediate impact is limited.
";conseq, deont: principle;;CB
R_3iVXsnu16lYL4Lt;chicken;20;5;I would rather pay more to know that the number of chickens raised under better welfare conditions increases than not changing at all.;;I would want to know that my food was raised in an ethical manner.;conseq, deont;;CB
R_1lzv6xg5IbfKVnp;chicken;60;30;I would pay more if the number of chickens raised under better standards make a difference in how the chickens are raised. I would be willing to pay extra if the number of chickens raised under better welfare standards does not change because I would feel making the effort to support change is the right thing to do. However, I wouldn't pay as much because my sacrifice is not making a difference. I would mostly be willing to pay more in this situation because I would feel it is the right thing to do.;;For me personally paying more even though there is no change to the treatment of the chickens would feel like the right thing to do. For me the sacrifice would make me feel like my voice is being heard, how I feel about the treatment of the chickens, even though there is no impact.;deont;;CB
R_3MbyY5SqpCKqWfK;chicken;20;0;The first situation made a difference but the second situation made no difference.;;;conseq;;CB
R_1Hc6weifN5iImvi;chicken;5;5;;It's simply based on a moral compass--- ethics.;It would be the mental concept of doing the right thing.;deont: principle;;CB
R_2ROhR9dabN73bt5;chicken;1;0;I am willing to pay slightly more if it would improve the lives of the chickens I eat. I eat a lot of rotisserie chickens from club stores like Costco and Sams and I feel bad not knowing where they come from. I do not want to pay more for no reason though so for the second option I said 0 because there is no point in paying more if it doesn't lead to positive outcomes for chickens. Food is very expensive right now and I cannot justify spending more unless it is guaranteed to help.;;;conseq;;CB
R_ZkR66nudw75jtbb;chicken;5;5;;It doesn't matter to me if it makes a huge impact in the long run, I still care about individual animals.;Even if it doesn't make a big impact I still care about helping them.;deont;;CB
R_3082i9Rk9043fcD;chicken;5;5;;It sounds like the right thing to do to try and help.;It sounds like the right thing to do.;other;;CB
R_3kb5NhJ1CAmm8hk;chicken;20;20;;It made the most sense;Impactful was my key;other;;CB
R_1pmwclfkBbUrVhp;chicken;25;25;;I would be willing to spend the extra money regardless of the consequences.;I would still be getting a better quality chicken.;deont;;CB
R_3MAnI6Q12ZoExAW;chicken;20;0;There is no change in situation 2 so why would i pay more?;;;conseq;;CB
R_SUG4KL39yOMW0Dv;chicken;0;0;;;;;;CB
R_31sjFbjqYc2CsUy;chicken;40;0;I was willing to pay a premium if it decreased the number of chickens raised in bad conditions but if my actions did not decrease this number then I would not be willing to pay that premium.;;;conseq;;CB
R_2QJPAw62JGFeWkC;chicken;15;15;;In either situation I would give the same, in scenario two I know the over all numbers don't change but atleast I know I am doing something that feels more moral to me.;Its a morality issue more than anything to me. I would feel like atleast I am doing something right and the chickens I buy come from a better quality of life.;deont: principle;;CB
R_RfYTtnfcTmvRImR;chicken;1;1;;I would be willing to pay a little bit more to improve the welfare in which chickens are raised. I would know that the chickens are being treated better for our consumption, rather than the previous bad living conditions.;I wouldn't want to pay more in situation 2;deont;;CB
R_1lbipLoYA1TSZZM;chicken;2;0;If I know that my money will go toward actually improving living conditions for animals, I will happily pay that extra money. However, without that guarantee and considering that I don't make that much money myself, I would be better off saving the $2/chicken for other purposes (improving my own welfare).;;;conseq;;CB
R_27yETU44cZynPAS;chicken;40;0;I chose to pay more in the first situation because it actually made a difference. I chose not to in the second situation because it wasn't going to change anything.;;;conseq;;CB
R_3ezbSD3QJmxzDqW;chicken;1;0;Honestly, chickens aren't that big of a deal for me in regards to the quality of life. If they are bred solely for food their lives are short. If they were kept longer and produced eggs I would pay  more for the Certified Animal Welfare eggs.;;;other;;CB
R_cClEgPYo5KgenFD;chicken;1,5;1,5;;I can't control people beyond myself. I can't force someone to be moral or unmoral. I can only control myself and live by example. I do expect the costs to create the environment to cost more, so the increase in cost makes sense.;"I can't control people beyond myself. I can't force someone to be moral or unmoral. I can only control myself and live by example.
";deont: ownpart;;CB
R_1mRzpwSQDTbcDWK;chicken;77;77;;gave the same answer in the two situations for quality;its perfect;other;;CB
R_2rwskFtI2etn9Un;chicken;120;0;If more chickens are being added to the pull in being raised in better welfare conditions then I will pay the price, but if there's just no net gain/loss and the amount of chickens in better welfare conditions does not actually increase then I see no point in spending the extra money.;;;conseq;;CB
R_3koJy6YzMROPKNV;chicken;20;20;;If you were concerned about the welfare of the chickens then you should spend the same amount of money to improve their conditions and their lives regardless if the number of chickens does  not increase.;Because even though the number of chickens does not increase, those that are being raised under better welfare conditions will see some improvement in their situation.;deont;;CB
R_3gMe4nIiz8IknY0;chicken;240;240;;I feel like purchasing the chickens raised in better conditions is like voting with my dollars for better animal welfare. Even if nothing changes right away I think the industry pays attention to how many people spend money on things like this. And I would also feel better about the food I cooked with the chickens I purchased. I would enjoy eating more.;I would feel better about the food I ate if I made with chickens I knew were humanely raised. I want to eat meat and I see nothing wrong with this but I want the animals to be able to have good lives before. In fact I do this now, I pay extra for humanely raised chicken and pork.;conseqstill, deont: feelgood;;CB
R_31TOx01JmQTyE1D;chicken;10;10;;I think what I do would make a difference to those 20 chickens at least, whether or not it impacted the overall global market by 20 chickens.;I would be willing to pay more in situation 2 because what I do would at least be helping those 20 chickens and improve their conditions, even if my action has no overall impact.;deont;;CB
R_1I5ZaOsZBRM3Aa2;chicken;20;0;I'm not going to pay more if it's not making a difference.;;;conseq;;CB
R_cD4HiSIAFUImoV3;chicken;20;8;I would be willing to spend more if it makes a net positive difference in the world, but if nothing really changes, I'm not incentivized to spend as much in my opinion.;;It seems like it would still result in a benefit to me, as the better raised chickens might taste better or be more nutritious.;conseq;;CB
R_3FX4HM7k19DKfUO;chicken;5;0;I would be willing to pay more if it actually made a change overall. If it's not going to make a change then why does it matter if I just pay less for the chickens that are in the poor conditions anyway?;;;conseq;;CB
R_3LaO922AGgQxmth;chicken;5;2;If I think I am helping then I will pay more. If I dont make a difference then I wont pay as much.;;Because I alone cant help make a difference but if many people contribute then eventually together we CAN make a difference.;conseq;;CB
R_3MFlfNCCzPGMPKG;chicken;3;3;;I would support better treatment for the chickens as it correlates to me to healthier food options, overall;I prefer to consume food that is raised humanely as I believe it provides denser nutritional value;other;;CB
R_1nPDoB5k5bs5HIg;chicken;0;0;;;;;;CB
R_3HpDCy0VqcsaTxi;chicken;3;3;;Paying an extra $3 is about the standard amount I am willing to pay more for certain food.;Budget-wise, I would be willing to pay that much more. The total impact didn't really come into play;deont;;CB
R_2aenSTVcTL2lsM1;chicken;20;5;With Situation 1, I'd be willing to pay up to $20 extra for 20 animal-welfare-certified chickens because I know my money directly helps improve the welfare of those specific chickens. However, in the second scenario, where my extra payment doesn't actually change the overall number of chickens with better welfare, I'd only be willing to spend an additional $5. The difference comes down to whether I would see a real impact from my choice. If my money does end up making a positive difference for the animals, I'm willing to pay more, but if it doesn't, I'd rather keep the extra cost lower.;;It's based on my a personal moral principals and how I care about animals. I'd like to contribute a small amount to support the idea of animal welfare, even if the direct impact is limited. Maybe I'd consider it was a symbolic gesture to help contribute better living conditions.;conseq, deont: principle;;CB
R_3PdHMRLKWGztcWV;chicken;0;0;;;;;;CB
R_1FttUMnAlIDDNxa;chicken;20;20;;I would still pay $1 more per chicken - $20. I would want to do my part.;I would feel better about the animals.;deont: ownpart, deont: feelgood;;CB
R_1i4GaHJ2phCuPWO;chicken;100;0;It appears that the second scenario does not improve the life of any chickens.;;;conseq;;CB
R_1jiSHgbEVdhea4W;chicken;125;0;Because it doesn't help any chickens, the cost goes up so less people buy animal welfare certified chickens and the demand goes down. Then less chickens will be raise better because the demand went down. So it has no impact.;;;conseq;;CB
R_2ePRLofHPMQibRR;chicken;0;0;;;;;;CB
R_1KwYS0Z1zkflkg8;chicken;5;0;I would only be willing to pay more money if it was going to benefit the animals.;;;conseq;;CB
R_2uIiil7RGGY2KwC;chicken;1;1,5;I don't see how this is going to be a win win for the animals. If I pay more for the chickens so they have a better living condition then the consumers won't pay for the higher priced chicken.;;I think we need better regulations and actually shut the breeders down or what ever they are called, and not allow them to start up again under any name if they are caught being mean to the animals.  I think they should be given a fair price to begin with so they can and should treat the animals in a humane way and the stores can purchase them at a fair price and we the consumers can purchase them at a fair price.;other;;CB
R_2amkuNUPU9d9ol3;chicken;2;0;I would rather pay extra and make some changes than pay extra and nothing changes;;;conseq;;CB
R_3atWoGOe7WJRsml;chicken;20;5;In the first answer if feels like my direct donation is making an acutal difference while in the second the overall number of chickens in better situtions would not change.;;I would still hope some difference can be made through many people donation but I would not be willing to give a lot.;conseqstill;;CB
R_1rlhQYUACJDWYL2;chicken;5;0;who ever came up with situation 2 is way overthinking life. Good grief. Just do it, quit trying to analyze problems into rediculous results. i would not pay any extra, period.;;;other;;CB
R_3NK9DNmcRuVBoym;chicken;100;0;I would only pay extra money if I knew that my actions would have positive consequences--in scenario 2, even if I paid money, my actions would have no consequence. Thus, there would not be a point in me paying extra money, if the overall number of chickens raised under better welfare standards do not change.;;;conseq;;CB
R_3MRIUNzTUO4KBSJ;chicken;40;40;;I am still buying chickens which were raised under better welfare standards, whether or not it affects other chickens.;Over time, if enough people would be willing to pay more money, that would help influence chicken farms to change their practices.;deont, conseqstill;;CB
R_2Cm40FSB8YXbCgl;chicken;20;20;;I wouldn't spend more than 20 dollars;Still I wouldn't spend more than 20 dollars;other;;CB
R_Q4BaR2BbVQE96Rr;chicken;4;2;It's still harder to raise chickens in good conditions so it's worth more to me. I agree many won't be able to buy though, and over the long-term, price needs to come down for everyone. In the first condition, I answered that way because I already pay more. It's worth it to me,but it's stressing me out, too.;;It costs to raise something right. It takes more effort, deserving more pay.;deont;;CB
R_2aEpCEogI3o0Nyf;chicken;100;100;;Either way, I'm supporting the farmer who is taking the extra care to provide a better environment for the 20 chickens I consume. They deserve to be supported in this, whether or not it affects the overall situation in the industry.;Same reason as above - whether or not the total impact is affected, I feel I should still pay for the extra care and work for the improved welfare of the chickens I consume.;deont;;CB
R_1Ouz0iW9kIf7vYF;chicken;50;50;;i want them to be treated well whether my contribution is positive or not;it would not make any difference to me;deont;;CB
R_vP3DcbJUBOtbbVf;chicken;10;5;If I could actually make a difference I would be willing to spend more.  I still like buying the products that support animal welfare, though, and would still pay more just to keep them in business and running even if it did not change anything.;;I would do it to support the company that is focused on animal welfare and keep their lights on, regardless if it makes an overall impact on the amount of chickens not raised in similar conditions.;deont;;CB
R_3nGgfZcWfJfPDVA;chicken;60;60;;Regardless of the outcome, I would still want to do my part in making life better for the chickens.;Um, same answer - this should be patently obvious based on my first answer.;deont: ownpart;;CB
R_3RvG3u8lpqjVEFA;chicken;0;0;;;;;;CB
R_1mUUrft0b74hOq7;chicken;5;2;In situation 2, it really doesn't make a difference what I do.;;I didn't want to do nothing.;conseq, deont;;CB
R_2YArqgGVKko8q9r;chicken;30;0;My contribution didn't lead to better environment for any chickens in scenario 2 so why would I want to pay more.;;;conseq;;CB
R_XuiTiUlH9F89h1D;chicken;0;0;;;;;;CB
R_1lzMT2BoLpUAD7r;chicken;5;0;the first situation is giving a better standard for chickens while the second is not;;;conseq;;CB
R_25WxwVXKEqSMFTl;chicken;25;2;I don't believe it would make any difference either way...but to try and adhere to the survey premise I would be willing to pay about a dollar more per chicken if I knew the results were verifiable.  But again - I fully believe this is pure poppycock.;;If it does not matter why pay more.;conseq;;CB
R_3lFwDkBz9zWklI5;chicken;25;15;I would be willing to pay more knowing that I was making a direct impact on the quality of life of the 20 chickens.  I would still pay more if I knew there was no direct impact, but I wouldn't pay quite as much.;;It would still be worth it to me to know that at least some of the chickens are being raised in a better way.;deont;;CB
R_2BqE8YADjB2gbxf;chicken;20;0;I would pay a higher premium for animal-welfare-certified chickens if I could be sure that my payment would make a difference in the lives of some chickens. By paying $20 above the standard price in the first scenario, I know that 20 chickens' lives will be affected positively and that they will be raised according to welfare standards. In the second scenario, my actions make no difference at all, so I would not be willing to pay a higher price.;;;conseq;;CB
R_26nZxvmNyVScK62;chicken;3;0;Because there's no positive consequence in the second scenario, I chose not to spend money on the animal-welfare-certified chickens;;;conseq;;CB
R_3phHonogqN2O9Kw;chicken;3;0;id like to think the extra money im spending would help;;;conseq;;CB
R_22n07yyxiDTkZJY;chicken;5;5;;I would want to have healthier chicken to eat. If it's been kept in better conditions, then it's better poultry for me and my family to eat.;The impact is the same in both scenarios- i get better chicken products.;other;;CB
R_1nUwvDh59Mm1zZf;chicken;15;0;I believe i would be willing to pay more for the chickens to be raised in a better conditions, this would mean the animals are kept in a safe and hygienic environment.;;;other;;CB
R_1dtpOvXhYtOeAgT;chicken;2;2;;Overall, I care about animal welfare, so I just want to help them live better lives and suffer maybe a little bit less.;It would be better for the animals' welfare.;deont;;CB
R_1H0IySOrE6ARGEb;chicken;50;0;They are not raised better so there is no worth in it to me;;;conseq;;CB
R_31TQ1w6F36iF5Mr;chicken;20;15;"Under a utilitarian framework, in the first scenario the overall ""amount of good for the greatest number of chickens"" increases. In order to support the general cause of animal welfare I would pay more. In the second scenario, it is still supporting the overall good, just in a less direct sense (for example, by supporting this brand, other chicken sellers could notice that welfare standards are important to consumers and implement these practices into their own business). Since it is less effective than the first scenario, I would still pay less.";;Refer to my reasoning above, the total impact is not zero. By supporting this brand, other chicken sellers could notice that welfare standards are important to consumers and implement these practices into their own business.;conseqstill;;CB
R_BPyE3cxB2n4k1jz;chicken;0,2;0,2;;"This is the amount I would pay. I would not pay much, because I would prefer to put my money towards improving the conditions of people who are raised in poor, cramped conditions, resulting in humanity's distress.

Isn't the purpose to improve the chicken's conditions? If so, it makes no difference if the total number is reduced or not. The bottom line is to improve conditions.";"How is that relevant to the situation? If you are worried about a chicken's conditions, then pay something extra. 

If you want to support that, then you do so by buying it. It's really that simple.";deont;;CB
R_6PuR3aBVniwdvTr;chicken;20;20;;I want to help the chickens without spending too much money;I want to help the chickens;deont;;CB
R_3w5hVUGLj756CyJ;chicken;200;200;;I don't like the second scenario one bit. But I do not want to eat cruelly raised chicken. I am willing to pay for better chicken in each situation.;Simply because I do not want to each cruelly raised chicken.;deont;;CB
R_2WuwYcSZtCiXYeE;chicken;0;0;;;;;;CB
R_3MFCE7tHerxSZFY;chicken;10;2;For the first situation given, my choice/payment has a real tangible effect on the lives of 20 chickens, which is worth something to me.  Not a lot as I am not rich, but something.  In the second scenario nothing really changes, no chickens actually benefit, so clearly any money paid there is basically being thrown away, so I'd spend significantly less in that case.;;Although it doesn't have any effect on chickens, it has some effect on me.  I'd feel a tiny bit better about myself, even if it isn't logical, so I'd pay a tiny bit more in that situation.;conseq, deont: feelgood;;CB
R_cUZhtbmNmsi27o5;chicken;0;0;;;;;;CB
R_3kv4vSwWqhXeXY2;chicken;100;100;;Because either way chickens are being raised in a more humane environment, so it is worth it.;I would feel guilty if I didn't pay extra to have some chickens live in a better environment even when not as many would be impacted.;deont: feelgood;;CB
R_ZlBEKkOoNVV3CSZ;chicken;3;3;;Because either way, I'm helping some chickens have a better standard of living.   I suppose I should look at the bigger picture, but it's just easier to think about the change that I can make.;Because I don't look at the total impact being zero.  I don't understand how helping 20 chickens is a zero impact.   Those 20 birds were still helped.;deont;;CB
R_DMjAlS8WNRC9zhv;chicken;20;0;it doesn't make any difference.  why pay extra?;;;conseq;;CB
R_31QS1n6YhO3XzBz;chicken;10;0;I would pay some amount of money for the betterment of some (a small number) of animals. But if paying the extra doesn't actually benefit any animals, then I feel my money is wasted. And while I might feel better about myself, that feeling does not contribute anything to the betterment of the world.;;;conseq;;CB
R_110CgoR92qxHE0n;chicken;0,75;0;paying more in scenario 1 would help chicken as a whole scenario 2 seemes to make no difference;;;conseq;;CB
R_b4yFYTLEaZzz9Xr;chicken;5;5;;I think the benefit means something to me, regardless;i still think it matters;conseqstill;;CB
R_9zykDR2u0WJrFcZ;chicken;0;0;;;;;;CB
R_eG18jB1BZD1w329;chicken;200;0;I feel it is valuable to increase the number of chickens in improved situations so I am willing to pay more for them. If there is no increase there does not seem to be a reason to pay more. In the second scenario I would look for another way to make a difference.;;;conseq;;CB
R_26wfUDMFJbr52Dv;chicken;5;0;I wouldn't want to pay more money unless it was actually going to make a difference.;;;conseq;;CB
R_2OGE1O8et4WlFCQ;chicken;0;0;;;;;;CB
R_2XjSqYuSyoi8oy1;chicken;20;20;;because I would want to consume the higher quality chicken.  1 person isn't going to effect the supply chain, there would need to be more changes.;Because I would want to support the farmer organization using better practices to raise their livestock.;other;;CB
R_2TRUQ9HyW9vxkkP;chicken;20;0;What is the point of adopting a strategy that would have no impact on the actual problem? I can't think of any. Maybe my money would have more impact if it were spent another way. It's a zero sum game, so use resources to make an actual difference.;;;conseq;;CB
R_1KrOdDnLJep5dvy;chicken;20;0;the animals deserve proper care even if they are there to feed some people;;;other;;CB
R_exHSKJE6Nm2pNRf;chicken;100;100;;It doesn't really matter if it's a statistical difference, or the reasons behind whether or not someone may or may not believe it made a difference. For the 20 chickens, it made a difference.;The total impact to the economy or whatever would be zero, but there would still be an impact among the chickens.;deont;;CB
R_25KkiG0S5bpICAO;chicken;10;0,01;Would not pay for nothing...in second choice no change in total . Would pay for extra care in number 1;;Not really willing... put sown one cent;conseq;;CB
R_1cXLcVNq0dyijLS;chicken;200;0;If I am going to pay extra money I would like a better result;;;conseq;;CB
R_ZxZ0VZQl2FIoFsR;chicken;0,25;0,25;;Both helped at least 20 chickens.;It at least gave a reward to the farmers raising the 20 chickens I purchased.;deont;;CB
R_9Z8o7izAnPRi7SN;chicken;20;20;;If I am paying more for the chickens in better living conditions it still amounts to the same thing even though there are more chicken sold under these better living conditions.;I am still paying a premium to support enhanced animal welfare standards for 20 chickens, regardless if people buy less chickens.;deont;;CB
R_3Eih1tEAXJoa1hV;chicken;1;0;If it won't make any difference, why would I agree to pay more?;;;conseq;;CB
R_siF5SU2kzRzoHpT;chicken;10;0;I would pay a bit more if I was sure animals would suffer less, but it sounds like that only happens with the first scenario.;;;conseq;;CB
R_poYc7kQcPJfiIKJ;chicken;10;5;In the first situation, where paying extra directly improves the welfare of 20 chickens, I'm willing to spend more, about $10, because I see a clear positive impact on the animals. In the second situation, where my payment doesn't change the overall welfare conditions, I'd be less willing to pay extra, only $5, since my contribution doesn't make a difference for the animals. The direct effect on animal welfare influences how much I'm willing to pay.;;"In Situation 2, even though my payment doesn't change the overall welfare conditions, I'm still willing to spend some extra money, $5, because it reflects my personal choice to support better animal welfare practices. 
While it may not increase the total impact, I'm willing to pay a bit more to align with my values, even if the direct effect is limited.";conseq, deont: principle;;CB
R_1mq7L0qPxg9ORry;chicken;20;10;Part of my premium would be reduce suffering of the animals and part would be to have a healthier product.;;Part of my premium would be reduce suffering of the animals and part would be to have a healthier product.;other;;CB
R_sS5HrNusVDsWwnv;chicken;5;0;Paying more was better for chickens in the first scenario.  It doesn’t matter in the 2nd one;;;conseq;;CB
R_2AL09ckoSvPRgX1;chicken;10;10;;I already pay more for ethically raised animals and hens that lay eggs and will continue to do so.;The immediate impact may be zero but education, documentaries about the slaughter industry may have a positive impact.   Our family opts to may more for ethical raising and treatment of animals.;other;;CB
R_1plpsbUAc2MGVfE;chicken;20;0; I believe all animals should experience better welfare just like we humans do. That is why I didn't agree to pay additional beyond the standard price in situation 2.;;;conseq;;CB
R_3I0PWQtp8Q6Q2WO;chicken;2;0;I do not view this issue as significantly as you present it.  I do not mind paying a cheaper price for chickens that are raised under a lower standard than you purport above.  The definition seems arbitrary.  Lastly, this issue like the last issue will not be a linear problem, whereby if I do better the net positive is one for one better.;;;other;;CB
R_2qpA0znumKXAh0n;chicken;500;200;like the say change is constant so things changes;;time differs;other;;CB
R_2VlixQl1Xwwsr0g;chicken;10;0;If my money makes no changes then i better keep it for myself.;;;conseq;;CB
R_33vQ559uPlQ0gdL;chicken;0;0;;;;;;CB
R_2tgJQrsKLqOPdsa;chicken;5;5;;In my option both would help chickens. In one way by giving more better conditions, Also the other one with unhealthy conditions will most likely raise the price anyway to stay completable;Because the chicken would possibly better tasting;other;;CB
R_beHi6dSiKoo7KZX;chicken;5;5;;i feel like this would still not have a great impact but would still feel like I am doing something that would help;It would give me more piece of mind that I tried to make things better through my contribution.;deont: feelgood;;CB
R_3qjNAt7U52mF4ge;chicken;5;2;If it isn't going to make a difference, why bother except to do what feels morally correct?;;It just feels right morally to try. The additional payments could be changed with further research. It is good to hope.;conseq, deont: principle;;CB
R_3oz3wJsSrqiSK4b;chicken;50;50;;Whether or not my action has consequences, my answers remain the same as i am not bias;I just feel i should do so;deont;;CB
R_1rpFscRaZ5O9ke3;chicken;1;1;;I would be willing to pay a little more either way just to have the quality of the better chicken. Weather or not that money brings about more healthier chickens or not would not affect my decision. I am on a very tight budget and  would not have extra money to give just to enable them to produce more chicken.;I would pay the extra just to get the better chicken even if it does not give them extra funds to expand their company. Just having the higher quality is enough for me. To me both situations are the same because of my budget.;deont;;CB
R_x5acIfZaIe3EIQ9;chicken;0;0;;;;;;CB
R_2qa3ylIH0FPCEPU;chicken;20;0;If I'm paying more to give better conditions to 20 chickens, but 20 additional chickens experience poor conditions, I'm not really acheiving anything.;;;conseq;;CB
R_2dLMsh3bgzLkI2E;chicken;25;0;I want the extra cost I'm paying to go to the betterment of the animals. In scenario 2, that isnt happening.;;;conseq;;CB
R_1rfvrKtZHm46obO;chicken;3;3;;I'd still rather eat a chicken raised in healthy circumstances, than on a battery farm.;Because I'd still rather eat a chicken raised in healthy circumstances.;other;;CB
R_1iajwL2Xn1SI80x;chicken;2;2;;If there were two chickens in front of me and one was raised in a better standard than the other then I would always choose to support the company that treats their chickens better regardless of how it affects anyone else.;I still feel better supporting the company who treats the chickens better.;deont;;CB
R_2vjOkEu1OY2Bohw;chicken;10;0;If it doesn't make an impact i would rather save the money;;;conseq;;CB
R_e3tcLBh1GTUgH2V;chicken;10;0;If I knew that paying more would make the chickens be raised more humanely, I would pay more. However, if I knew it wouldn't make an overall difference, I would not be able to justify paying more. Inflation is eating away at things. I only have so much money to spend. I can't afford to spend too much extra on chicken if it doesn't have any impact on how humanely the chickens are raised.;;;conseq;;CB
R_2uEXXK1moWisXi0;chicken;60;60;;I'm okay with spending the extra money. I do it for me an not necessarily for the betterment of chickens.;I'm okay with spending the extra money. I do it for me an not necessarily for the betterment of chickens.;other;;CB
R_DqUbkuophfc52x3;chicken;60;0;I am paying extra to increase the welfare of chickens.  If there is no change in the welfare of chickens, then I am wasting my money.;;;conseq;;CB
R_1rD3WLAAMIpNSMe;chicken;5;0;Because if what I do has no impact it makes no sense to do that thing;;;conseq;;CB
R_2X5wEckv0ixSAJW;chicken;20;0;I want to pay more if it means my actions will actually have consequences;;;conseq;;CB
R_vHA5raRHbViYNCF;chicken;15;7;i would be willing to add extra dollar to support better welfare standards for chicken. this would help get rid of the unhealthy way of rearing chicken and reduce animal distress;;i would only be willing to pay a little amount as i only want to help improve the welfare for chicken. same time i wouldn't want my contribution to cause unusual increase in price;deont;;CB
R_OrohENL4KzfvKUx;chicken;5;0;I'd be willing to pay some if my actions had a positive outcome. However, if paying extra doesn't contribute to a higher standard of welfare, I'm not sure why I should bother.;;;conseq;;CB
R_2UeWU8mSbozSxPp;chicken;0;0;;;;;;CB
R_zd6bmB5nasB4oXD;chicken;2;0;I would not pay more if the chickens are not going to be treated better.;;;conseq;;CB
